component,explained_variance,explained_variance_percent,cumulative_variance_percent
PC1,13.2267330590128,52.90693223605118,52.90693223605118
PC2,2.7008449506559953,10.80337980262398,63.71031203867516
PC3,1.4718985973402798,5.8875943893611185,69.59790642803628
PC4,1.322383483911924,5.289533935647695,74.88744036368398
PC5,1.2676716527993974,5.070686611197589,79.95812697488157
PC6,1.0139220210309245,4.055688084123698,84.01381505900525
PC7,0.9809217595412488,3.923687038164995,87.93750209717025
PC8,0.9147062767541251,3.6588251070165,91.59632720418675
PC9,0.790061186766933,3.1602447470677317,94.75657195125449
PC10,0.5232713825223991,2.093085530089596,96.84965748134408
PC11,0.2659929297963042,1.0639717191852167,97.9136292005293
PC12,0.2320368746064331,0.9281474984257323,98.84177669895504
PC13,0.13947943727181814,0.5579177490872724,99.39969444804233
PC14,0.09570811451228006,0.3828324580491202,99.78252690609143
PC15,0.020818378520472754,0.083273514081891,99.86580042017333
PC16,0.013151526286094175,0.052606105144376684,99.91840652531772
PC17,0.008904458571033069,0.03561783428413227,99.95402435960185
PC18,0.004739250739259269,0.01895700295703707,99.97298136255888
PC19,0.0033137048097497852,0.013254819238999137,99.98623618179788
PC20,0.0014999895235553182,0.005999958094221272,99.99223613989209
PC21,0.0010398730584402125,0.004159492233760849,99.99639563212584
PC22,0.0003664002835557755,0.0014656011342231018,99.99786123326007
PC23,0.0002015771336883143,0.0008063085347532571,99.99866754179482
PC24,0.00018611956155724593,0.0007444782462289836,99.99941202004105
PC25,0.00014699498973461166,0.0005879799589384466,99.99999999999999
