variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
1,-0.013448046434422474,-0.042978227915425916,-0.7015662740351006,-0.047737377734224616,-0.036971443461890116,0.012157848380259857,0.04194763032869933,0.004806695063837178,0.002851557560049649,0.706673339954351,-0.025730411890329548,0.005187827259359734,8.608463163599942e-05,-0.010466603282318356,-0.0005895867445306259,0.0005644143416251032,-0.001434354625464116,-0.0012194592790807735,0.0011076633788283674,0.0007120868269937354,-0.0007031899184840518,0.0003068653283598555,0.00019797190605861786,0.000262982761447349,0.00010827220066074618
2,0.0076981253464809924,0.042378518729901386,0.7009944315767397,0.024963475332134055,0.0671442858923878,-0.07048469111808434,0.007992450850260433,-0.010142846267829873,0.003898723191651314,0.7035368685513416,-0.03200954173090567,0.006958103790057035,0.01879680623477478,0.0076691944195231235,0.002109088321209874,-0.0010925685744386008,-0.002848422410578092,0.0006415408037886139,-0.0020941086497592194,0.0006966408119441322,-0.001062850511043697,0.00011263827941721133,0.0007482787327410531,-1.717279888031968e-05,-1.7698960774242238e-05
3,0.2643588341263451,-0.13171942159299213,-0.004122246793949998,0.036896657687018594,0.11269302934204585,-0.0036061386586184003,0.0014949513059795713,0.0627586526239417,-0.03436960318233195,0.004998512952033073,0.09867692798333413,-0.1010022005625908,-0.03801824697598791,-0.021554231896443832,0.0852565367993028,-0.16951862732386058,0.045052398367318246,-0.02881228904778705,0.17935216387284056,-0.35393585116277143,0.007503310792240808,0.8132652408109159,-0.0037012560138767895,0.04764249318497342,-0.10786370348090142
4,0.24836072536354112,-0.21193138513162016,-0.005857013394518321,0.08690806618618994,0.1563741143494818,-1.753798781425726e-05,-0.005888369106354385,0.10390957637701587,-0.050369820423437996,0.004885016483002173,0.07072660870852457,-0.16984774353734075,0.006423200756184189,0.011464318788050194,0.17224641603078972,-0.1181554007220997,0.03265552722039114,0.17086513855793958,0.24159153768177824,-0.6080475202818505,-0.11819676088567156,-0.5411981435169597,-0.0567379670048047,-5.8267506067827844e-05,-0.04337783343184091
5,0.26168775734300376,0.0560391681325124,-0.01110624794561021,0.14530488201256744,-0.11394445705861467,0.015473445218326717,-0.03924055540468594,0.006702576420786407,0.009516574284966687,-0.0006581220916095364,-0.1807012796743263,0.2878057914991812,-0.05975821324059873,0.33037869127067726,-0.05926277113139958,0.07977106659907467,0.026492115871026133,0.07509960557577378,-0.018959458538169337,0.011765881200697744,-0.4267355841875016,0.06717222699143396,-0.21479257506704996,-0.6432926290369569,-0.027307660510520658
6,0.26299787748955133,-0.13109513011500795,-0.008525775219991373,0.09483141382407848,0.10627203537375216,-0.003119014593670941,-0.014715942287331469,0.08243727776274527,-0.025753146632149965,0.005034502081602473,0.08191924816061646,-0.0915192524388215,-0.02714474771507462,0.03171666242888747,0.17657993883893197,-0.1657616018506021,0.07973151171184617,-0.11746944719210943,-0.0068278248419458626,0.4218477333149464,-0.011889589356702455,-0.11762334080010207,0.3353105031808987,-0.0718090178927856,-0.6930834649652056
7,0.2624699826902151,-0.13340757845204063,-0.008070015786375779,0.09533309859007986,0.11060096626768111,-0.0031929647332142896,-0.014204329392682664,0.08356894423823438,-0.02699191775597138,0.00583562433988173,0.08483476489171372,-0.10269205504818545,-0.028515544461875555,0.02341043577673969,0.16429725792654543,-0.17210692019023008,0.06370012028541197,-0.11505790735752311,-0.054072173692481,0.3692450658089425,0.05793281222985975,-0.04346346832412658,-0.7628424497162692,0.21012970405965375,0.1426856560043039
8,0.26236000573586715,-0.13706719100002088,-0.007833308861301212,0.0866116725003217,0.11355640327109243,-0.00309157799874833,-0.012164106010023547,0.08088446989643798,-0.026426997179420316,0.004867788884485923,0.08582602274521745,-0.10499010153419812,-0.02305069543900476,0.01781103881990716,0.1475965673112848,-0.1711180814830162,0.06393166396412299,-0.07811469120294119,0.07284426827088683,0.2599268254288321,-0.013362127869049969,-0.014126949941759752,0.4649254919173734,-0.1803241129367546,0.694325680511656
9,-0.2364184155147777,-0.1372582585360011,-0.02642122412094934,0.2789522020670265,0.20971593457766427,-0.0202052624350942,-0.05195673603445776,0.17502782410811338,-0.03198486449955714,-0.0052682884698374444,-0.078993576378362,-0.022210615120987775,0.22568456351892938,0.19221230061791755,0.39658155074007523,0.20179778862715883,-0.03698452571762764,0.6077419090014364,-0.25917751829552593,0.07616115117019906,0.11377694076293533,0.13400252490939124,0.025927936981799713,0.008825807204996379,0.004976379950619053
10,0.2617275404508743,0.05575141743829876,-0.010909382281246986,0.1455531329509457,-0.11346826418573316,0.015674779949453602,-0.03839633489993737,0.007495711271996776,0.010229364811867857,-0.0010144952184972349,-0.17890833875745524,0.28894929722212476,-0.057306162573792015,0.33070630332442175,-0.06542045810273514,0.07348003601404449,0.03214977837657991,0.050596921157978716,0.0011040403700154984,0.017425591923906737,-0.34015922589542047,-0.004985631153778684,0.1869418848509831,0.7055362149219335,0.04624788926920554
