turbine,variable,lower_iqr_limit,upper_iqr_limit,values_outside_iqr_limits,99th_percentile,maximum,maximum_observation,second_largest
No.2WT,1,-0.13911551549999998,0.11771312849999999,6,0.096310742,0.117713131,452,0.117713131
No.2WT,2,-0.227712781,0.20602585099999998,3,0.15180853,0.249399722,82,0.206025854
No.2WT,3,21.100163445,31.500332844999996,0,27.7002912721,27.70029831,420,27.70029831
No.2WT,4,24.200156215,34.600478175,0,31.00038528,31.00039101,734,31.00038719
No.2WT,5,-142.95218858749996,766.6485959125,0,502.144366139,516.9232788,639,514.0033569
No.2WT,6,32.735006332499985,49.460012432500015,0,43.59815216,43.59815598,647,43.59815598
No.2WT,7,32.741471765,49.170300964999996,0,43.4456099327,43.49568176,661,43.49567795
No.2WT,8,33.06375313875,49.14640234875,0,43.49482727,43.53083038,652,43.52883148
No.2WT,9,23573454.0,23576214.0,0,23575357.0,23575361.0,1564,23575361.0
No.2WT,10,-138.61829751250005,772.8607367875001,0,507.235023798,523.1901855,639,521.4981079
No.2WT,11,738.6619408750001,1896.068557875,0,1538.20566642,1555.433105,638,1552.195557
No.2WT,13,0.010393625,0.010393769,7,0.010393728,0.48396033,1423,0.279926986
No.2WT,14,-5.0,3.0,4,3.0,4.0,390,4.0
No.2WT,16,179.74361425,266.81142425,0,254.579662502,263.6973267,1557,263.6973267
No.2WT,17,3.8499057375000008,13.849892365499999,0,11.79989243,11.89989281,1,11.89989281
No.2WT,18,679.724182,690.5112915999999,31,689.1627808,697.8522339,861,690.3613892
No.2WT,19,49.83999632000001,50.16000367999999,0,50.06999969,50.08000183,782,50.06999969
No.2WT,20,16.69546317125,18.463464741249997,0,17.9453603332,17.97442245,371,17.97042656
No.2WT,21,21.965965492499997,23.779920832500004,0,23.19967079,23.2016716,746,23.19967842
No.2WT,22,10.699985025000004,10.700004104999998,646,11.09999657,11.10000038,300,11.09999847
No.2WT,23,-7.204641551,17.489325076999997,18,15.569945505299994,18.36361313,1553,18.17176628
No.2WT,24,2.884727061249999,8.03246885525,0,6.92150694824,7.370210171,648,7.340836525
No.2WT,25,9.692594051250005,23.776002401249997,31,24.402623973799997,24.6065731,1383,24.59457397
No.2WT,26,43.35536194000001,63.75245665999999,0,59.80292511,60.00289154,1356,60.00289154
No.2WT,27,54.25025747500001,65.84872247499999,0,63.736032636599994,63.95384598,1360,63.94585037
No.14WT,1,-0.09592011450000001,0.0746739775,36,0.09783779629999978,0.170385763,1,0.127789319
No.14WT,2,-0.1581225755,0.1469221805,20,0.15180853,0.249399722,440,0.195182383
No.14WT,3,-43.051465029999996,144.01969433,0,76.7976848645,76.79769135,2,76.79769135
No.14WT,4,-33.83888339500001,135.59906672500003,0,76.19863892,76.29862213,1,76.28662109
No.14WT,5,-641.8518577149999,1069.811529629,0,500.05741274,1021.722295,358,605.6627197
No.14WT,6,-9.364274983750015,128.13549614625003,0,88.213223267,88.99421692,1,88.89823151
No.14WT,7,-9.571010598749986,127.94018937124999,0,88.51319351199999,89.271492,1,89.12447357
No.14WT,8,-9.254137026250007,127.74596976375001,0,88.513546757,89.29853821,1,89.20155334
No.14WT,9,19954278.25,29607476.25,0,25990129.0,25990129.0,288,25990129.0
No.14WT,10,-649.5692596499999,1082.6154327499999,1,506.47836911999997,1256.034129,358,521.7191162
No.14WT,11,-2183.4527860075,3653.2182044045,1,1537.13876315,17052.87489,358,1652.765015
No.14WT,13,-133.4582115175,222.4580690065,0,88.98963928,88.98963928,292,88.98963928
No.14WT,14,-2.5,1.5,83,3.0,68.0,288,12.88753676
No.14WT,16,-282.6032857825,496.9922265895,0,204.6876984,204.6947021,524,204.6947021
No.14WT,17,-27.13984156625,74.83279562375,0,40.3988266,40.53183746,1,40.4988327
No.14WT,18,674.6304931000002,702.1968995,1,695.7547607,696.6536865,282,696.3540649
No.14WT,19,49.80000304000001,50.19999695999999,1,50.09000015,50.09000015,325,50.09000015
No.14WT,20,-9.310401436249997,62.98516511374999,0,36.60040283,36.60040283,288,36.60040283
No.14WT,21,-2.9513759549999996,66.251337045,0,42.30041122,42.30041885,293,42.30041504
No.14WT,22,-21.749457364999998,65.84907627499999,0,34.99970627,34.99970627,288,34.99970627
No.14WT,23,-15.182550429624998,20.149953841374998,20,18.525949572499986,80.96842751,358,28.06361771
No.14WT,24,3.3736676583749987,10.557958065375,3,9.720765590349997,11.03058434,285,10.56402588
No.14WT,25,-28.734225748750006,97.61759996125001,0,57.7066337585,57.79567719,1,57.79567719
No.14WT,26,45.08497333500001,82.99059009499999,1,76.85631561000001,77.49461365,1,77.42060089
No.14WT,27,47.30333518999999,82.48462487,10,82.59343337749999,84.56595612,288,84.49198151
No.39WT,1,-0.09631073700000001,0.074908351,94,0.096310742,0.191948175,1,0.138629243
No.39WT,2,-0.1822674785,0.1608242455,21,0.15180853,0.249399722,552,0.206025854
No.39WT,3,22.800436964999996,34.799986845,1,32.70026779,32.70027542,1,32.70027542
No.39WT,4,27.120048504999993,35.728874225000006,114,36.60060883,36.65161133,22,36.62361145
No.39WT,5,-643.7086578075,1072.8002922845,0,502.873688984,516.9232788,1109,514.0033569
No.39WT,6,37.88307953499999,50.86986541500001,1,50.29981995,50.79981232,1,50.75281525
No.39WT,7,36.89440535999999,51.9404564,1,50.394231418400004,50.79822159,1,50.79822159
No.39WT,8,37.50877762,51.4130745,1,49.79897308,50.19900131,1,50.16600418
No.39WT,9,14615595.0,28950171.0,1,23575032.92,23575045.0,1405,23575043.0
No.39WT,10,-651.5736237,1085.9560394999999,0,508.030505364,523.1901855,1109,521.4981079
No.39WT,11,-2086.870655325,3596.927471595,0,1538.5157814,1555.433105,1108,1552.195557
No.39WT,13,-133.46047744749998,222.46184555649998,0,88.99097443,88.99097443,62,88.99097443
No.39WT,14,-2.5,1.5,214,2.9600000000000364,4.0,860,4.0
No.39WT,16,69.75521850000004,429.55648809999997,1,294.631012,294.631012,1,294.631012
No.39WT,17,6.166356079999999,16.122464192000002,1,14.49997711,14.49997711,430,14.49997711
